disasterNumber,fyDeclared,incidentType,declarationTitle,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,fipsCountyCode,placeCode,designatedArea,declaration_date,incident_begin,incident_end,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,9,99009,Brevard (County),17083,17077,17094,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,7,99007,Bradford (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,115,99115,Sarasota (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,121,99121,Suwannee (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,73,99073,Leon (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,39,99039,Gadsden (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,17,99017,Citrus (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,11,99011,Broward (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,83,99083,Marion (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,89,99089,Nassau (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,129,99129,Wakulla (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,123,99123,Taylor (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,75,99075,Levy (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,117,99117,Seminole (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,1,99001,Alachua (County),17072,17044,17056,
4280,2016,Hurricane,HURRICANE HERMINE,1,0,1,1,81,99081,Manatee (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,95,99095,Orange (County),17083,17077,17094,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,127,99127,Volusia (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,125,99125,Union (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,109,99109,St. Johns (County),17083,17077,17094,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,31,99031,Duval (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,41,99041,Gilchrist (County),17072,17044,17056,
4283,2017,Hurricane,HURRICANE MATTHEW,0,0,1,1,85,99085,Martin (County),17083,17077,17094,
4283,2017,Hurricane,HURRICANE MATTHEW,1,0,1,1,107,99107,Putnam (County),17083,17077,17094,
4280,2016,Hurricane,HURRICANE HERMINE,0,0,1,1,67,99067,Lafayette (County),17072,17044,17056,
4337,2017,Hurricane,HURRICANE IRMA,1,0,1,1,86,99086,Miami-Dade (County),17419,17413,17458,
